zipcode,place,state,state_code,province,latitude,longitude
5000,Aarau,Kanton Aargau,AG,Bezirk Aarau,47.3925,8.0442
5001,Aarau 1,Kanton Aargau,AG,Bezirk Aarau,47.3888,8.0483
5004,Aarau,Kanton Aargau,AG,Bezirk Aarau,47.3925,8.0442
5017,Barmelweid,Kanton Aargau,AG,Bezirk Aarau,47.4159,7.9764
5018,Erlinsbach,Kanton Aargau,AG,Bezirk Aarau,47.4052,8.0151
5022,Rombach,Kanton Aargau,AG,Bezirk Aarau,47.4047,8.0459
5023,Biberstein,Kanton Aargau,AG,Bezirk Aarau,47.4164,8.0851
5024,Küttigen,Kanton Aargau,AG,Bezirk Aarau,47.4157,8.0477
5025,Asp,Kanton Aargau,AG,Bezirk Aarau,47.445,8.0503
5026,Densbüren,Kanton Aargau,AG,Bezirk Aarau,47.4526,8.0533
5032,Aarau Rohr,Kanton Aargau,AG,Bezirk Aarau,47.4017,8.0796
5033,Buchs AG,Kanton Aargau,AG,Bezirk Aarau,47.3936,8.0823
5034,Suhr,Kanton Aargau,AG,Bezirk Aarau,47.3717,8.0797
5035,Unterentfelden,Kanton Aargau,AG,Bezirk Aarau,47.3681,8.0502
5036,Oberentfelden,Kanton Aargau,AG,Bezirk Aarau,47.3564,8.0459
5037,Muhen,Kanton Aargau,AG,Bezirk Aarau,47.3367,8.0541
5042,Hirschthal,Kanton Aargau,AG,Bezirk Aarau,47.3187,8.0564
5722,Gränichen,Kanton Aargau,AG,Bezirk Aarau,47.3593,8.1024
5300,Turgi,Kanton Aargau,AG,Bezirk Baden,47.492,8.2541
5301,Siggenthal Station,Kanton Aargau,AG,Bezirk Baden,47.5174,8.2395
5303,Würenlingen,Kanton Aargau,AG,Bezirk Baden,47.5336,8.2567
5400,Baden,Kanton Aargau,AG,Bezirk Baden,47.4733,8.3059
5401,Baden,Kanton Aargau,AG,Bezirk Baden,47.4651,8.2896
5402,Baden,Kanton Aargau,AG,Bezirk Baden,47.4651,8.2896
5404,Baden,Kanton Aargau,AG,Bezirk Baden,47.4733,8.3059
5405,Dättwil AG,Kanton Aargau,AG,Bezirk Baden,47.4551,8.2847
5406,Rütihof,Kanton Aargau,AG,Bezirk Baden,47.44,8.2712
5408,Ennetbaden,Kanton Aargau,AG,Bezirk Baden,47.4804,8.3235
5412,Vogelsang AG,Kanton Aargau,AG,Bezirk Baden,47.4943,8.2382
